Y,X,U,V,u',v',-uv,k
0.00105,0.0081,61.184,5.5687,12.5475,11.8066,-63.97552,222.20069
0,0.0081,64.052,-0.038001,11.2569,10.9223,-9.539207,184.50083
-0.00105,0.0081,56.165,-7.3851,11.7588,11.0179,57.69221,194.78261
-0.00195,0.0081,44.454,-3.7523,12.4041,11.3525,114.81321,212.49012
-0.003,0.0081,21.2471,6.0228,11.9022,11.4959,63.97552,205.6356
-0.00495,0.0081,5.6882,7.2417,7.0983,7.6719,8.453908,81.68303
-0.00705,0.0081,4.6605,9.082,2.5334,3.4894,1.4565855,13.994645
-0.009,0.0081,4.5888,12.6431,1.12808,1.2189,0.21477496,2.0677802
-0.01095,0.0081,4.4932,15.057,0.89147,0.92015,0.36614561,1.2281015
-0.01305,0.0081,4.1586,16.73,0.61901,0.61184,0.14451613,0.56835395
0.01305,0.015,10.1336,-24.378,1.78533,1.35274,-0.07768456,3.7642739
0.01095,0.015,13.2406,-19.2156,1.45073,1.41249,-0.7025883,3.0731098
0.009,0.015,17.9728,-19.0244,1.99565,2.16056,-1.0795869,6.511794
0.00705,0.015,21.7251,-15.8696,3.7045,6.1662,-13.766161,38.785159
0.00495,0.015,20.1716,-6.8832,8.1499,8.0304,-55.807217,98.24812
0.003,0.015,31.309,2.6051,12.0934,11.1374,-98.24812,202.77955
0.00195,0.015,50.668,3.6089,12.9777,11.8305,-61.11947,231.34005
0.00105,0.015,56.404,2.10081,12.2607,11.4481,-13.880403,210.77649
0,0.015,58.077,-0.30114,11.4003,11.0896,-3.6843045,189.64172
-0.00105,0.015,54.253,-3.0592,11.3764,10.9223,14.451613,186.21446
-0.00195,0.015,48.039,-6.3096,12.189,11.2091,58.26342,205.6356
-0.003,0.015,32.265,2.33742,12.6909,11.5915,92.53602,221.62948
-0.00495,0.015,21.4861,7.1222,8.604,8.7474,52.437078,113.09958
-0.00705,0.015,21.8207,13.5513,4.5649,6.0228,11.766926,42.897871
-0.009,0.015,15.774,18.5942,2.17968,2.629,1.8221599,8.796634
-0.01095,0.015,14.1966,19.6458,1.96219,1.83552,2.2334311,5.4093587
-0.01305,0.015,10.8028,25.334,1.92873,1.59174,-0.6111947,4.683922
0.01305,0.0201,-4.1347,-2.09603,4.2064,2.7007,-1.9592503,18.792809
0.01095,0.0201,16.7061,-4.6844,6.9071,4.5171,-5.2037231,51.180416
0.009,0.0201,25.573,-8.5323,2.5334,3.6089,3.6785924,14.622976
0.00705,0.0201,24.378,-7.0505,3.9435,4.8039,-1.6850695,28.960347
0.00495,0.0201,25.573,-5.0668,5.3775,5.7838,-12.281015,46.83922
0.003,0.0201,36.089,1.03487,11.2808,10.4443,-69.68762,177.64631
0.00195,0.0201,42.781,2.9158,11.233,10.6833,-53.579498,179.93115
0.00105,0.0201,54.492,1.59174,10.9701,10.4682,-32.787454,172.50542
0,0.0201,55.448,-0.29397,10.9223,9.8946,-5.540737,162.79485
-0.00105,0.0201,53.297,-2.4856,10.994,10.2053,23.019763,168.50695
-0.00195,0.0201,43.737,-2.4617,11.3286,10.277,46.83922,175.36147
-0.003,0.0201,35.85,-1.03248,10.6116,9.8946,60.54826,157.65396
-0.00495,0.0201,25.334,6.2618,4.7322,5.2102,10.453143,37.071529
-0.00705,0.0201,24.617,7.9826,3.3938,4.0152,1.9592503,20.734923
-0.009,0.0201,26.29,9.1298,2.36371,3.0114,-2.970292,10.967232
-0.01095,0.0201,18.9049,4.2542,7.8392,4.6366,5.6207064,62.26189
-0.01305,0.0201,-4.3976,1.53199,4.0391,3.0353,1.2909346,19.078414
0.01305,0.0249,-5.6165,-1.10179,4.7083,3.824,-5.6378427,27.703685
0.01095,0.0249,3.5372,-0.92254,7.4807,5.6404,-25.13324,65.68915
0.009,0.0249,23.8522,0.717,5.3775,4.6366,-1.0396022,37.928344
0.00705,0.0249,29.158,-3.4655,4.2064,4.2781,-2.8217774,27.018233
0.00495,0.0249,31.309,-3.7045,5.6882,6.7159,-22.505674,57.69221
0.003,0.0249,41.347,-3.6089,8.5323,9.3688,-45.068469,120.52531
0.00195,0.0249,42.781,-3.4416,8.5801,9.2493,-30.217009,119.38289
0.00105,0.0249,54.014,-0.2868,10.2053,10.038,-20.792044,153.65549
0,0.0249,54.492,-0.65486,10.0858,10.2292,-4.0098942,154.79791
-0.00105,0.0249,54.014,0.26529,10.038,10.038,15.936759,151.37065
-0.00195,0.0249,42.303,3.585,9.6795,9.9902,36.271835,145.08734
-0.003,0.0249,38.718,3.2982,9.1537,9.1537,43.183476,125.6662
-0.00495,0.0249,30.831,4.1825,6.5964,6.8832,23.305368,67.97399
-0.00705,0.0249,29.397,3.1787,4.6366,4.7322,3.6157593,32.958817
-0.009,0.0249,23.6132,-0.78153,4.3737,4.2064,0.54721918,27.646564
-0.01095,0.0249,3.8001,1.49136,8.5323,5.6165,28.503379,78.25577
-0.01305,0.0249,-6.4291,0.6692,4.7083,4.0391,5.14089,28.903226
0.01305,0.03,-1.40293,1.5057,8.6996,5.5687,-20.792044,79.9694
0.01095,0.03,8.1021,1.40054,7.17,5.3536,-19.935229,59.97705
0.009,0.03,20.3389,3.8718,6.8354,6.5725,-23.248247,67.40278
0.00705,0.03,27.724,1.78533,5.736,5.736,-2.913171,49.295423
0.00495,0.03,30.831,-0.182357,5.4253,5.5926,-1.5879638,45.582558
0.003,0.03,42.542,-0.98229,6.931,8.4128,-17.764631,89.10876
0.00195,0.03,42.542,0.80782,9.321,9.3449,-29.588678,130.80709
0.00105,0.03,44.454,0.98229,9.2732,9.2254,-20.620681,128.52225
0,0.03,45.649,0.074568,9.6317,9.2254,-3.5757746,133.66314
-0.00105,0.03,45.649,-0.195024,9.56,9.4166,19.763866,134.80556
-0.00195,0.03,43.976,-0.93449,9.4883,9.2493,21.420375,131.3783
-0.003,0.03,42.303,-1.34557,9.2015,8.9386,27.589443,123.38136
-0.00495,0.03,31.309,0.59989,5.2102,5.3058,1.1824047,41.641209
-0.00705,0.03,29.636,1.46985,4.8995,4.8278,1.5079944,35.472141
-0.009,0.03,24.378,-3.8001,6.5008,5.736,13.594798,56.264185
-0.01095,0.03,10.277,-1.33362,7.1222,4.78,13.309193,55.350249
-0.01305,0.03,-1.57023,-1.27148,8.604,5.1146,13.994645,75.39972
0.01305,0.048,9.2015,2.06018,8.5801,6.5964,-31.702155,87.96634
0.01095,0.048,16.3476,3.2026,8.843,6.6203,-31.759276,91.3936
0.009,0.048,24.856,3.0353,7.9826,5.975,-19.935229,74.82851
0.00705,0.048,27.724,2.4378,7.6719,6.7159,-10.910111,78.25577
0.00495,0.048,31.548,0.4302,5.6643,5.497,-6.626036,46.782099
0.003,0.048,33.938,0.0123324,5.1624,5.3775,-2.85605,41.812572
0.00195,0.048,34.177,0.043498,5.3058,5.7121,-1.8907051,45.6968
0.00105,0.048,34.894,0.035372,5.258,5.7838,0.8396787,45.811042
0,0.048,35.133,0.065008,5.1863,5.7838,0.54493434,45.296953
-0.00105,0.048,34.655,0.067876,5.1385,5.5209,0.6226189,42.669387
-0.00195,0.048,34.177,0.024378,5.1863,5.5209,2.9531557,42.84075
-0.003,0.048,33.46,0.079826,5.2819,5.3775,5.0209359,42.555145
-0.00495,0.048,31.548,0.162042,5.7121,5.3536,7.254367,45.868163
-0.00705,0.048,27.485,-2.6529,6.7637,5.5926,12.623741,57.69221
-0.009,0.048,24.139,-3.1787,7.8631,6.0467,20.277955,73.68609
-0.01095,0.048,16.9451,-3.2265,8.0304,6.1423,23.019763,76.54214
-0.01305,0.048,8.9864,-1.78772,7.409,5.736,18.507204,65.68915
0.01305,0.075,15.6545,2.8202,6.5008,4.78,-13.13783,48.781334
0.01095,0.075,21.4144,1.97414,6.9071,5.2341,-17.193421,56.321306
0.009,0.075,24.378,2.1749,7.5285,5.6404,-18.678567,66.26036
0.00705,0.075,27.724,2.26572,7.1222,5.4014,-14.680097,59.97705
0.00495,0.075,29.397,1.71602,6.4291,5.1624,-10.681627,51.123295
0.003,0.075,31.787,1.25953,5.736,4.9712,-6.683157,43.183476
0.00195,0.075,32.743,1.07789,5.1863,4.8517,-3.4215479,37.871223
0.00105,0.075,32.982,1.06594,5.1385,4.6844,-1.2052531,36.386077
0,0.075,33.938,0.192395,5.2341,4.6127,0.24105062,36.443198
-0.00105,0.075,33.221,-0.094883,5.4253,4.6366,2.0163713,38.27107
-0.00195,0.075,32.504,-0.35372,5.7121,4.78,4.0498789,41.584088
-0.003,0.075,30.831,-0.75285,6.0945,4.9473,7.025883,46.039526
-0.00495,0.075,27.963,-1.34079,6.7637,5.1624,13.252072,54.207829
-0.00705,0.075,24.617,-2.05301,7.0505,5.3297,14.051766,58.83463
-0.009,0.075,21.7968,-2.5573,7.1461,5.4492,15.251307,60.54826
-0.01095,0.075,18.7615,-2.7246,6.8593,5.2102,13.480556,55.750096
-0.01305,0.075,15.9891,-2.28962,6.3813,4.2064,11.824047,43.868928
0.01305,0.12,20.3867,0.5497,4.9951,3.4894,-6.740278,27.817927
0.01095,0.12,20.793,0.37523,5.3058,3.9435,-9.253602,32.730333
0.009,0.12,24.856,0.53297,5.4253,4.063,-10.110417,34.558205
0.00705,0.12,25.334,0.41825,5.4731,4.2303,-9.996175,35.871988
0.00495,0.12,26.768,0.8126,5.3536,3.9913,-7.083004,33.472906
0.003,0.12,27.963,0.81021,5.1146,4.063,-3.027413,31.98776
0.00195,0.12,28.202,0.055687,5.0668,4.0152,-1.827872,31.359429
0.00105,0.12,28.202,0.022944,5.1385,4.0391,0.06054826,31.930639
0,0.12,29.158,0.0081021,5.0907,3.9674,1.7650389,31.359429
-0.00105,0.12,28.919,0.053297,5.0668,4.0391,3.2730333,31.530792
-0.00195,0.12,28.68,-0.0005019,5.1863,3.9435,3.6043351,31.930639
-0.003,0.12,27.963,-0.075046,5.258,3.9435,5.4379192,32.387607
-0.00495,0.12,26.768,-0.214622,5.3536,4.0869,6.397552,34.101237
-0.00705,0.12,24.856,-0.57599,5.3297,3.8718,7.539972,32.616091
-0.009,0.12,23.2547,-0.6214,5.1146,3.585,6.568915,29.360194
-0.01095,0.12,21.8685,-0.72656,4.7322,3.346,5.1466021,25.247482
-0.01305,0.12,20.4106,-0.58316,4.4693,2.8441,3.3244422,21.077649
0.01305,0.27,23.7327,0.096556,2.7724,1.70407,-1.428025,7.882698
0.01095,0.27,23.4937,0.073612,2.7963,1.90483,-1.256662,8.56815
0.009,0.27,25.334,0.096795,2.7246,1.95741,-0.8396787,8.511029
0.00705,0.27,25.573,0.0076241,2.7007,2.06257,-0.8111182,8.625271
0.00495,0.27,25.812,0.098229,2.6529,2.04345,-0.39813337,8.453908
0.003,0.27,25.812,0.0103248,2.629,2.11037,-0.26447023,8.511029
0.00195,0.27,25.812,0.096078,2.5812,2.1271,-0.15308428,8.453908
0.00105,0.27,25.812,0.041586,2.5812,2.13427,0.005826342,8.396787
0,0.27,25.573,0.052819,2.6051,2.08647,0.27589443,8.339666
-0.00105,0.27,25.573,0.06692,2.5573,2.11993,0.32501849,8.225424
-0.00195,0.27,25.573,0.074329,2.5812,2.0793,0.49523907,8.225424
-0.003,0.27,25.334,0.054731,2.6768,2.0793,0.56092822,8.625271
-0.00495,0.27,25.334,-0.032504,2.6051,2.04345,0.8339666,8.225424
-0.00705,0.27,25.095,-0.061662,2.6529,1.99804,0.9653449,8.282545
-0.009,0.27,24.617,-0.044454,2.6768,1.88093,1.0338901,8.054061
-0.01095,0.27,23.8761,-0.058316,2.6768,1.69451,1.0967232,7.539972
-0.01305,0.27,23.3503,0.062379,2.6051,1.62281,-0.7482851,7.025883
