
[Name]
U X90 ALL Y

[Data]
Turbulence Kinetic Energy [ m^2 s^-2 ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ]
1.22945423e+001, 2.80268898e+001, 1.89356997e-009
1.23389368e+001, 2.78625031e+001, 5.37866428e-002
1.24287491e+001, 2.74409618e+001, 1.03952929e-001
1.24666958e+001, 2.67726364e+001, 1.50435716e-001
1.23593855e+001, 2.58709698e+001, 1.60142481e-001
1.20193892e+001, 2.47965660e+001, 1.73614919e-001
1.14485188e+001, 2.35549774e+001, 1.72417060e-001
1.05751143e+001, 2.21282845e+001, 1.59380257e-001
9.63368130e+000, 2.05193005e+001, 1.05111934e-001
6.52296019e+000, 1.50701189e+001, 4.13093306e-002
