
[Name]
U X0 ALL Y

[Data]
Turbulence Kinetic Energy [ m^2 s^-2 ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ]
8.35269775e+001, 5.16238480e+001, 7.10542736e-015
1.02035751e+002, 3.47019882e+001, 1.51802647e+000
1.02566551e+002, 7.42821169e+000, 1.87877238e-001
2.29021912e+001, -7.19233894e+000, -3.12974453e+000
5.16623795e-001, -6.86201477e+000, -6.46319580e+000
5.57007372e-001, -4.16257381e+000, -8.36356544e+000
7.67529368e-001, -1.66163743e+000, -8.81986332e+000
9.79862809e-001, -4.08584267e-001, -9.18777084e+000
1.14066756e+000, -5.98969720e-002, -9.12026119e+000
2.17094564e+000, -4.13629866e+000, -1.19477758e+001
