
[Name]
U X40 ALL Y

[Data]
X [ m ], Y [ m ], Z [ m ], Temperature [ K ], Turbulence Kinetic Energy [ m^2 s^-2 ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ]
1.19999997e-001, 0.00000000e+000, 5.00000024e-004, 3.00416718e+002, 1.32913876e+001, 3.09366608e+001, 3.05569481e-009
1.19999997e-001, 1.66666659e-003, 5.00000024e-004, 2.99325562e+002, 1.38333588e+001, 3.05172043e+001, 5.97200617e-002
1.19999997e-001, 3.33333318e-003, 5.00000024e-004, 2.96596527e+002, 1.52260876e+001, 2.93836460e+001, 1.25231415e-001
1.19999997e-001, 4.99999989e-003, 5.00000024e-004, 2.92772430e+002, 1.71261215e+001, 2.75985565e+001, 1.88642472e-001
1.19999997e-001, 6.66666636e-003, 5.00000024e-004, 2.88627533e+002, 1.88870163e+001, 2.53661728e+001, 2.42448926e-001
1.19999997e-001, 8.33333284e-003, 5.00000024e-004, 2.84760681e+002, 1.96409721e+001, 2.28652744e+001, 2.69779384e-001
1.19999997e-001, 9.99999978e-003, 5.00000024e-004, 2.81473877e+002, 1.90303020e+001, 2.02886600e+001, 2.58585453e-001
1.19999997e-001, 1.16666667e-002, 5.00000024e-004, 2.78862610e+002, 1.65470524e+001, 1.77481613e+001, 2.08477169e-001
1.19999997e-001, 1.33333337e-002, 5.00000024e-004, 2.77049561e+002, 1.25303526e+001, 1.54018612e+001, 1.21818319e-001
1.19999997e-001, 1.50000006e-002, 5.00000024e-004, 2.75705475e+002, 5.39394236e+000, 1.09651403e+001, 1.37411791e-003
