
[Name]
U X087 ALL Y

[Data]
X [ m ], Y [ m ], Z [ m ], Turbulence Kinetic Energy [ m^2 s^-2 ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ]
-1.30500002e-002, 0.00000000e+000, 5.00000024e-004, 2.16796432e+002, 8.48803787e+001, 5.54223381e-014
-1.30500002e-002, 1.66666659e-003, 5.00000024e-004, 6.68826294e+001, 1.84761295e+001, -1.79099512e+000
-1.30500002e-002, 3.33333318e-003, 5.00000024e-004, 2.43648148e+001, -4.87036991e+000, -5.37176657e+000
-1.30500002e-002, 4.99999989e-003, 5.00000024e-004, 1.88719368e+001, -5.67124414e+000, -2.58838415e+000
-1.30500002e-002, 6.66666636e-003, 5.00000024e-004, 1.55764399e+001, -4.13991117e+000, 8.62618089e-001
-1.30500002e-002, 8.33333284e-003, 5.00000024e-004, 1.15165482e+001, -2.09262872e+000, 3.53899932e+000
-1.30500002e-002, 9.99999978e-003, 5.00000024e-004, 8.43917274e+000, -8.07794333e-002, 4.51429176e+000
-1.30500002e-002, 1.16666667e-002, 5.00000024e-004, 6.85618973e+000, 1.65482557e+000, 4.22955608e+000
-1.30500002e-002, 1.33333337e-002, 5.00000024e-004, 6.30693865e+000, 3.05345273e+000, 2.60468221e+000
-1.30500002e-002, 1.50000006e-002, 5.00000024e-004, 3.14944839e+000, 3.21199036e+000, 3.22415121e-002
