
[Name]
U X40 ALL Y

[Data]
X [ m ], Y [ m ], Z [ m ], Turbulence Kinetic Energy [ m^2 s^-2 ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ]
1.19999997e-001, 0.00000000e+000, 5.00000024e-004, 1.25882654e+001, 3.27153511e+001, 3.86489507e-009
1.19999997e-001, 1.66666659e-003, 5.00000024e-004, 1.32284679e+001, 3.20791206e+001, 7.16821030e-002
1.19999997e-001, 3.33333318e-003, 5.00000024e-004, 1.46099882e+001, 3.04396896e+001, 1.39887214e-001
1.19999997e-001, 4.99999989e-003, 5.00000024e-004, 1.61990032e+001, 2.80324860e+001, 1.90474182e-001
1.19999997e-001, 6.66666636e-003, 5.00000024e-004, 1.74701729e+001, 2.52194462e+001, 2.23927185e-001
1.19999997e-001, 8.33333284e-003, 5.00000024e-004, 1.77100029e+001, 2.22684345e+001, 2.31914043e-001
1.19999997e-001, 9.99999978e-003, 5.00000024e-004, 1.68208332e+001, 1.93803921e+001, 2.10680693e-001
1.19999997e-001, 1.16666667e-002, 5.00000024e-004, 1.49382381e+001, 1.66939373e+001, 1.62343621e-001
1.19999997e-001, 1.33333337e-002, 5.00000024e-004, 1.25861197e+001, 1.44584675e+001, 9.15997475e-002
1.19999997e-001, 1.50000006e-002, 5.00000024e-004, 5.60366869e+000, 1.05736294e+001, 1.20564364e-003
