
[Name]
U X25 ALL Y

[Data]
X [ m ], Y [ m ], Z [ m ], Temperature [ K ], Turbulence Kinetic Energy [ m^2 s^-2 ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ]
7.50000030e-002, 0.00000000e+000, 5.00000024e-004, 3.05684753e+002, 2.30098000e+001, 3.31877289e+001, 4.94615282e-009
7.50000030e-002, 1.66666659e-003, 5.00000024e-004, 3.04084625e+002, 2.24321251e+001, 3.27101021e+001, 8.12111646e-002
7.50000030e-002, 3.33333318e-003, 5.00000024e-004, 2.99712158e+002, 2.06950436e+001, 3.14287758e+001, 1.36993349e-001
7.50000030e-002, 4.99999989e-003, 5.00000024e-004, 2.93113220e+002, 1.77721252e+001, 2.94441051e+001, 1.79020464e-001
7.50000030e-002, 6.66666636e-003, 5.00000024e-004, 2.85749939e+002, 1.48658514e+001, 2.67775345e+001, 2.25319192e-001
7.50000030e-002, 8.33333284e-003, 5.00000024e-004, 2.79313965e+002, 1.36788616e+001, 2.33409901e+001, 2.88521558e-001
7.50000030e-002, 9.99999978e-003, 5.00000024e-004, 2.75332886e+002, 1.43942547e+001, 1.92448997e+001, 3.25366557e-001
7.50000030e-002, 1.16666667e-002, 5.00000024e-004, 2.73835205e+002, 1.40806818e+001, 1.51955175e+001, 2.69138187e-001
7.50000030e-002, 1.33333337e-002, 5.00000024e-004, 2.73321472e+002, 1.10737867e+001, 1.17543030e+001, 1.43952206e-001
7.50000030e-002, 1.50000006e-002, 5.00000024e-004, 2.73200897e+002, 4.39793015e+000, 7.93568468e+000, 3.87727935e-003
