
[Name]
U X0 ALL Y

[Data]
X [ m ], Y [ m ], Z [ m ], Temperature [ K ], Turbulence Kinetic Energy [ m^2 s^-2 ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ]
0.00000000e+000, 0.00000000e+000, 5.00000024e-004, 3.42780823e+002, 1.15126968e+002, 4.91067429e+001, 1.42108547e-014
0.00000000e+000, 1.66666659e-003, 5.00000024e-004, 3.31714935e+002, 1.77556381e+002, 3.36953735e+001, 1.88681293e+000
0.00000000e+000, 3.33333318e-003, 5.00000024e-004, 3.14382324e+002, 2.02520126e+002, 9.78725433e+000, 1.73253965e+000
0.00000000e+000, 4.99999989e-003, 5.00000024e-004, 2.95617737e+002, 1.16287682e+002, -5.88519049e+000, 1.17123678e-001
0.00000000e+000, 6.66666636e-003, 5.00000024e-004, 2.76822723e+002, 1.68267365e+001, -1.07249079e+001, -2.79102755e+000
0.00000000e+000, 8.33333284e-003, 5.00000024e-004, 2.74419006e+002, 2.06583929e+000, -7.12345123e+000, -5.63527584e+000
0.00000000e+000, 9.99999978e-003, 5.00000024e-004, 2.75985199e+002, 4.56627941e+000, -2.20712852e+000, -6.21389198e+000
0.00000000e+000, 1.16666667e-002, 5.00000024e-004, 2.76458557e+002, 5.47306442e+000, 6.72922790e-001, -6.50784111e+000
0.00000000e+000, 1.33333337e-002, 5.00000024e-004, 2.76006592e+002, 4.45841646e+000, 2.41022515e+000, -7.85734510e+000
0.00000000e+000, 1.50000006e-002, 5.00000024e-004, 2.73226563e+002, 2.53968096e+000, 7.80113280e-001, -1.43069601e+001
