
[Name]
U X16 ALL Y

[Data]
X [ m ], Y [ m ], Z [ m ], Turbulence Kinetic Energy [ m^2 s^-2 ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ]
4.80000004e-002, 0.00000000e+000, 5.00000024e-004, 2.57309456e+001, 3.89003830e+001, 5.57447777e-009
4.80000004e-002, 1.66666659e-003, 5.00000024e-004, 2.52747650e+001, 3.72951279e+001, 2.35874891e-001
4.80000004e-002, 3.33333318e-003, 5.00000024e-004, 2.28581276e+001, 3.33471832e+001, 3.73337269e-001
4.80000004e-002, 4.99999989e-003, 5.00000024e-004, 1.79621067e+001, 2.93047314e+001, 4.21980590e-001
4.80000004e-002, 6.66666636e-003, 5.00000024e-004, 1.28937302e+001, 2.65336590e+001, 4.77790594e-001
4.80000004e-002, 8.33333284e-003, 5.00000024e-004, 1.19634218e+001, 2.43410950e+001, 6.67751014e-001
4.80000004e-002, 9.99999978e-003, 5.00000024e-004, 1.59147205e+001, 2.01024475e+001, 9.71895039e-001
4.80000004e-002, 1.16666667e-002, 5.00000024e-004, 2.12553005e+001, 1.31385050e+001, 9.96781588e-001
4.80000004e-002, 1.33333337e-002, 5.00000024e-004, 2.03919125e+001, 6.43606138e+000, 6.20788872e-001
4.80000004e-002, 1.50000006e-002, 5.00000024e-004, 6.38940191e+000, 2.13648415e+000, 5.58829075e-003
