
[Name]
U X40 ALL Y

[Data]
X [ m ], Y [ m ], Z [ m ], Temperature [ K ], Turbulence Kinetic Energy [ m^2 s^-2 ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ]
1.19999997e-001, 0.00000000e+000, 5.00000024e-004, 2.96663666e+002, 2.18699398e+001, 3.40834923e+001, 8.43936387e-009
1.19999997e-001, 1.66666659e-003, 5.00000024e-004, 2.95658173e+002, 2.44117489e+001, 3.32797203e+001, 1.53676346e-001
1.19999997e-001, 3.33333318e-003, 5.00000024e-004, 2.93344604e+002, 2.99431534e+001, 3.13271561e+001, 2.88685709e-001
1.19999997e-001, 4.99999989e-003, 5.00000024e-004, 2.90476654e+002, 3.52934914e+001, 2.86848335e+001, 3.82602245e-001
1.19999997e-001, 6.66666636e-003, 5.00000024e-004, 2.87660950e+002, 3.84627800e+001, 2.58115730e+001, 4.28889662e-001
1.19999997e-001, 8.33333284e-003, 5.00000024e-004, 2.85179779e+002, 3.85918236e+001, 2.29564686e+001, 4.24418151e-001
1.19999997e-001, 9.99999978e-003, 5.00000024e-004, 2.83108521e+002, 3.59367218e+001, 2.02629089e+001, 3.70369583e-001
1.19999997e-001, 1.16666667e-002, 5.00000024e-004, 2.81463531e+002, 3.08176117e+001, 1.78192863e+001, 2.73525238e-001
1.19999997e-001, 1.33333337e-002, 5.00000024e-004, 2.80214355e+002, 2.33915806e+001, 1.55826330e+001, 1.44700140e-001
1.19999997e-001, 1.50000006e-002, 5.00000024e-004, 2.79276520e+002, 8.33606529e+000, 1.14896460e+001, -1.36979157e-004
