
[Name]
U X0 ALL Y

[Data]
X [ m ], Y [ m ], Z [ m ], Temperature [ K ], Turbulence Kinetic Energy [ m^2 s^-2 ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ]
0.00000000e+000, 0.00000000e+000, 5.00000024e-004, 3.41036774e+002, 1.11412346e+002, 4.98205757e+001, 7.10542736e-015
0.00000000e+000, 1.66666659e-003, 5.00000024e-004, 3.27701477e+002, 1.51454819e+002, 3.46207390e+001, 1.44198573e+000
0.00000000e+000, 3.33333318e-003, 5.00000024e-004, 3.04669983e+002, 1.48159973e+002, 1.14235563e+001, 1.10216871e-001
0.00000000e+000, 4.99999989e-003, 5.00000024e-004, 2.81959686e+002, 4.40147438e+001, -3.14217782e+000, -2.74936891e+000
0.00000000e+000, 6.66666636e-003, 5.00000024e-004, 2.73199615e+002, 5.93353033e-001, -5.97606325e+000, -6.13649082e+000
0.00000000e+000, 8.33333284e-003, 5.00000024e-004, 2.73148682e+002, 2.53851622e-001, -5.29657841e+000, -8.81330681e+000
0.00000000e+000, 9.99999978e-003, 5.00000024e-004, 2.73165283e+002, 3.70564640e-001, -3.79181957e+000, -1.01324558e+001
0.00000000e+000, 1.16666667e-002, 5.00000024e-004, 2.73175781e+002, 5.65334618e-001, -2.68057084e+000, -1.07150822e+001
0.00000000e+000, 1.33333337e-002, 5.00000024e-004, 2.73211700e+002, 9.14324641e-001, -2.18711185e+000, -9.80194283e+000
0.00000000e+000, 1.50000006e-002, 5.00000024e-004, 2.73151520e+002, 2.04338670e+000, -5.07985210e+000, -1.00986767e+001
