
[Name]
U X087 ALL Y

[Data]
X [ m ], Y [ m ], Z [ m ], Turbulence Kinetic Energy [ m^2 s^-2 ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ]
-1.30500002e-002, 0.00000000e+000, 5.00000024e-004, 3.09084869e+002, 9.36057129e+001, 4.44276438e-014
-1.30500002e-002, 1.66666659e-003, 5.00000024e-004, 5.54422913e+001, 6.54157305e+000, -3.45453620e+000
-1.30500002e-002, 3.33333318e-003, 5.00000024e-004, 1.16333160e+001, -5.25743914e+000, -5.36271954e+000
-1.30500002e-002, 4.99999989e-003, 5.00000024e-004, 7.31165695e+000, -4.83992243e+000, -1.84034407e+000
-1.30500002e-002, 6.66666636e-003, 5.00000024e-004, 3.87951565e+000, -2.59971309e+000, 1.26446581e+000
-1.30500002e-002, 8.33333284e-003, 5.00000024e-004, 2.39821315e+000, -9.21287537e-001, 2.74124932e+000
-1.30500002e-002, 9.99999978e-003, 5.00000024e-004, 1.90143311e+000, 2.05183521e-001, 3.31395578e+000
-1.30500002e-002, 1.16666667e-002, 5.00000024e-004, 1.82190776e+000, 1.39295852e+000, 3.38653374e+000
-1.30500002e-002, 1.33333337e-002, 5.00000024e-004, 1.96418643e+000, 2.66915298e+000, 2.08553147e+000
-1.30500002e-002, 1.50000006e-002, 5.00000024e-004, 1.42597461e+000, 3.18660021e+000, 4.41182107e-002
