
[Name]
U X90 ALL Y

[Data]
X [ m ], Y [ m ], Z [ m ], Temperature [ K ], Turbulence Kinetic Energy [ m^2 s^-2 ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ]
2.70000011e-001, 0.00000000e+000, 5.00000024e-004, 2.89648407e+002, 1.30202379e+001, 2.65645523e+001, 1.44996892e-009
2.70000011e-001, 1.66666659e-003, 5.00000024e-004, 2.89586060e+002, 1.30436840e+001, 2.64614258e+001, 4.12388965e-002
2.70000011e-001, 3.33333318e-003, 5.00000024e-004, 2.89431671e+002, 1.30943060e+001, 2.62019005e+001, 7.91528523e-002
2.70000011e-001, 4.99999989e-003, 5.00000024e-004, 2.89194519e+002, 1.31149349e+001, 2.57926636e+001, 1.15522347e-001
2.70000011e-001, 6.66666636e-003, 5.00000024e-004, 2.88888184e+002, 1.30287075e+001, 2.52456436e+001, 1.24621049e-001
2.70000011e-001, 8.33333284e-003, 5.00000024e-004, 2.88544983e+002, 1.27231140e+001, 2.45980225e+001, 1.36767834e-001
2.70000011e-001, 9.99999978e-003, 5.00000024e-004, 2.88183502e+002, 1.21221895e+001, 2.38438759e+001, 1.38160080e-001
2.70000011e-001, 1.16666667e-002, 5.00000024e-004, 2.87821594e+002, 1.10411625e+001, 2.29252872e+001, 1.35617778e-001
2.70000011e-001, 1.33333337e-002, 5.00000024e-004, 2.87464844e+002, 9.31877518e+000, 2.16388435e+001, 9.97516438e-002
2.70000011e-001, 1.50000006e-002, 5.00000024e-004, 2.87102600e+002, 6.45116377e+000, 1.54147787e+001, 3.98732536e-002
